Company name,Industry,City,Province
Irving Oil,"Petroleum refining, distribution and retail",Saint John, NB
Keurig Dr Pepper Canada,Coffee distribution and brewing equipment,Montr̩al, QC
Keyera Corp.,Crude petroleum and natural gas extraction,Calgary, AB
Labatt Breweries of Canada,Breweries,Toronto, ON
LBMX Inc.,Computer softwares,London, ON
Loblaw Companies Ltd.,Supermarkets and grocery stores,Brampton, ON
L'Or̩al Canada Inc.,Cosmetics manufacturing,Montr̩al, QC
Manulife Financial Corporation,Direct life insurance carriers,Toronto, ON
Mars Canada,Food manufacturing,Bolton, ON
Mawer Investment Management Ltd.,Financial planning and investment management,Calgary, AB
McElhanney Ltd.,"Engineering, surveying and mapping services",Vancouver, BC
Medavie Inc.,Medical insurance and health services,Moncton, NB
Medtronic Canada ULC,Electromedical apparatus manufacturing,Brampton, ON
Michelin North America (Canada) Inc.,Tire manufacturing,New Glasgow, NS
Mondelez Canada Inc.,Food manufacturing,Toronto, ON
Nasdaq Verafin,Specialized financial softwares,St. John's, NL
Nestl̩ Canada Inc.,Food manufacturing,North York, ON
Novo Nordisk Canada Inc.,Pharmaceuticals preparation manufacturing,Mississauga, ON
Nutrien Ltd.,"Phosphate, nitrogen and potash fertilizers manufacturing",Saskatoon, SK
PCL Construction,"Industrial, commercial and institutional buildings construction",Edmonton, AB
Plusgrade Inc.,Software publishers,Montr̩al, QC
Pomerleau Inc.,Construction services,Montr̩al, QC
Procter & Gamble Inc.,Consumer products manufacturing,Toronto, ON
Provincial Credit Union Ltd.,Credit unions,Charlottetown, PE
Questrade Financial Group,Financial investment services,North York, ON
Rio Tinto,Mining,Montr̩al, QC
Roche Canada,Pharmaceutical manufacturing,Mississauga, ON
Royal Bank of Canada,Banking,Toronto, ON
Samsung Electronics Canada Inc.,Communications equipment manufacturing,Mississauga, ON
SAP Canada Inc.,Custom computer programming services,Vancouver, BC
Saputo Inc.,Cheese and dairy food products manufacturing,Montr̩al, QC
SaskEnergy Incorporated,Natural gas distribution,Regina, SK
Schneider Electric Canada Inc.,Industrial automation and controls,Mississauga, ON
Seaspan ULC,"Shipbuilding, repair and marine services",North Vancouver, BC
Second Harvest Canada,Community Food Services,Etobicoke, ON
Shell Canada Limited,Oil and gas production and distribution,Calgary, AB
Simon Fraser University,"Post secondary schools, university",Burnaby, BC
Sobeys Inc.,Supermarkets and grocery stores,Mississauga, ON
StandardAero Ltd.,Aircraft engine maintenance services,Winnipeg, MB
Stryker Canada ULC,Medical equipment and supplies wholesalers,Waterdown, ON
TD Bank Group,Banking,Toronto, ON
Teck Resources Limited,Mining,Vancouver, BC
Toyota Motor Manufacturing Canada Inc. / TMMC,Automobile manufacturing,Cambridge, ON
UAP Inc.,Motor vehicle supplies and new parts,Montr̩al, QC
United Way British Columbia,Charitable organizations,Burnaby, BC
Universit̩ de Montr̩al,"Post secondary schools, university",Montr̩al, QC
University of New Brunswick / UNB,"Post secondary schools, university",Fredericton, NB
Vancouver City Savings Credit Union,Credit unions,Vancouver, BC
West Fraser Timber Co. Ltd.,Sawmills,Vancouver, BC
World Vision Canada,Charitable organizations,Mississauga, ON
"Yukon, Government of",Territorial governments,Whitehorse, YT
